SOURCE	TARGET	ENZYMES
C00219	C00249	;3.1.2.2;6.2.1.3
C00219	C00958	;3.1.1.4
C00219	CE7228	1.14.14.1
C00219	CE5928	
C00219	C00016	;1.14.14.1
C00219	C02249	3.1.2.2;6.2.1.3
C00219	C00435	1.14.15.3
C00219	C03242	3.1.2.2;6.2.1.3
C00219	C00030	;1.13.11.31;1.13.11.33;1.14.99.1
C00219	CE5537	
C00219	C03595	3.1.2.2;6.2.1.3
C00219	C05956	1.14.99.1
C00219	CE5925	
C00060	C00350	;3.1.1.4;3.1.1.32
C00060	C00319	;3.5.1.23
C06254	C00350	;3.1.1.4;3.1.4.4;3.1.4.3;2.7.8.-;2.7.8.2;2.1.1.17;3.1.1.32;2.3.1.23
C06427	C00350	3.1.1.4;3.1.1.32
C00028	C05455	;1.3.99.6
C00028	C13856	1.13.11.-;1.14.99.1
C04635	C00350	;3.1.1.4
C00154	C02934	2.3.1.50
C00154	C02990	;2.3.1.16;1.3.3.6;3.1.2.22;1.3.1.38;6.2.1.3;2.3.1.86;2.3.1.21;2.3.-.-;3.1.2.2;2.3.1.50;1.14.19.1;1.3.99.3;1.3.99.13
C04756	C00350	2.7.8.1;3.1.1.4;3.1.4.4;3.1.4.3;2.7.8.2
C00162	C00350	3.1.1.4;3.1.1.32
C00162	C00319	3.5.1.23
C00162	C12144	3.5.1.23
C04517	C00350	;3.1.1.4
C04438	C00350	3.1.1.4;2.3.1.23
C00010	C00350	;2.3.1.23
C00010	C00319	;2.3.1.24
C00010	C02934	2.3.1.50
C00010	C02990	;2.3.1.16;1.3.3.6;3.1.2.22;6.2.1.3;2.3.1.86;2.3.1.21;2.3.-.-;3.1.2.2;2.3.1.50;1.3.99.3
C00010	CE0849	5.3.3.8;2.3.1.16;4.2.1.17
C00010	CE5967	2.3.1.16;3.1.2.2
C00010	nrvnccrn	6.2.1.3;1.3.99.3;2.3.1.21
C00157	C00350	;3.1.1.4;3.1.4.4;3.1.4.3;2.7.8.-;2.7.8.2;2.1.1.17;3.1.1.32;2.3.1.23
C04230	C00350	3.1.1.4;2.3.1.23
C00350	C05212	2.7.8.2;3.1.1.4
C00350	C01595	;3.1.1.4
C00350	C04317	;3.1.1.4;2.3.1.148;2.3.1.147
C00350	C00958	;3.1.1.4
C00350	C01241	;3.1.1.4;4.1.1.65;3.1.4.4;3.1.4.3;2.7.8.-;3.1.1.32;2.7.8.1;2.7.8.2;2.3.1.147;2.1.1.17;2.3.1.148;2.7.-.-;2.3.1.23
C00350	C02737	;3.1.1.4;4.1.1.65;3.1.4.4;2.7.8.-;3.1.1.32
C00350	C00570	;2.7.8.1;2.7.8.2
C00350	C00416	;3.1.4.4;3.1.1.32
C00350	C00344	3.1.4.3;2.7.8.-
C00350	C00641	2.7.8.1;2.7.8.2;3.1.4.3
C00350	C00055	;2.7.8.1;2.7.8.2;2.7.8.-
C00350	C01177	;3.1.4.4;3.1.4.3
C00350	CE6493	2.3.1.148;2.3.1.147;3.1.1.4
C00350	C03454	2.7.8.1;3.1.1.4;3.1.4.4;3.1.4.3;2.7.8.2
C00350	G10621	;2.7.8.1;2.7.8.2;2.7.8.-
C00350	C00376	
C00350	C03201	2.7.8.1;3.1.1.4;3.1.4.4;3.1.4.3;2.7.8.2
C00350	CE6583	
C00350	C04475	2.7.8.1;3.1.1.4;3.1.4.4;3.1.4.3;2.7.8.2
C00350	C00165	;2.7.8.1;2.7.8.2;2.7.-.-
C00350	C05973	3.1.1.32
C00350	C05673	2.7.8.1
C00350	C00093	;3.1.4.3
C00350	C00588	;3.1.4.3
C00350	C00189	;3.1.4.4;3.1.4.3;2.7.8.-
C00350	C00065	;3.1.1.4;4.1.1.65;3.1.4.4;2.7.8.-;3.1.1.32
C00350	C00346	;3.1.4.4;3.1.4.3;2.7.8.-
C00350	C01194	;3.1.4.4;3.1.4.3
C00350	C00040	;2.3.1.23
C00350	C00021	;2.1.1.17
C00350	C05675	2.7.8.1;3.1.1.4;3.1.4.4;3.1.4.3;2.7.8.2
C00350	C00019	;2.1.1.17
C00350	CE7098	2.3.1.148;2.3.1.147;3.1.1.4
C00350	C04233	3.1.1.32
C00350	C05974	3.1.1.32
C01352	CE0849	1.3.99.13
C01352	CE2591	1.3.99.3
C00016	CE0849	1.3.99.13
C00016	CE2591	1.3.99.3
C00030	C05455	;1.3.99.6
C00030	C13856	1.13.11.-;1.14.99.1
C00319	C00416	;3.1.3.4
C00319	C00641	3.1.3.4
C00319	C03201	3.1.3.4
C00319	C00588	;3.1.4.12
C00319	C00040	;2.3.1.24
C00319	C00124	;3.2.1.46
C00319	Rtotal	3.5.1.23
C00319	C01120	;3.1.4.12;3.5.1.23;2.7.1.91;1.1.1.102;4.1.2.27;2.7.8.27;2.7.1.138;3.1.3.4;2.3.1.24;3.2.1.46;3.2.1.45;2.4.1.47;2.4.1.80;3.2.1.62
C00319	C06124	;3.1.4.12;3.5.1.23;2.7.1.91;1.1.1.102;4.1.2.27;2.7.8.27;2.7.1.138;3.1.3.4;2.3.1.24;3.2.1.46;3.2.1.45;2.4.1.47;2.4.1.80;3.2.1.62
C00319	C05977	3.1.3.4
C00319	C12126	2.3.1.24;3.5.1.23
C00319	crm_hs	2.7.1.138;2.4.1.80;3.2.1.46;3.5.1.23;3.2.1.45
C00319	C03640	2.3.1.24
C00319	C00836	;3.1.4.12;3.5.1.23;2.7.1.91;1.1.1.102;4.1.2.27;2.7.8.27;2.7.1.138;3.1.3.4;2.3.1.24;3.2.1.46;3.2.1.45;2.4.1.47;2.4.1.80;3.2.1.62
C00319	C01747	3.2.1.46
C00319	C00195	;3.1.4.12;3.5.1.23;2.7.1.91;1.1.1.102;4.1.2.27;2.7.8.27;2.7.1.138;3.1.3.4;2.3.1.24;3.2.1.46;3.2.1.45;2.4.1.47;2.4.1.80;3.2.1.62
C00319	C00550	2.7.8.27;3.1.4.12;2.3.1.24
C00319	C02960	;3.1.4.12;3.5.1.23;2.7.1.91;1.1.1.102;4.1.2.27;2.7.8.27;2.7.1.138;3.1.3.4;2.3.1.24;3.2.1.46;3.2.1.45;2.4.1.47;2.4.1.80;3.2.1.62
C05455	C03772	;1.3.99.6;1.1.1.50
C05455	C02140	1.3.99.6
C05455	C00599	1.3.1.3
C05455	C00410	;1.3.99.6;1.1.1.145;1.3.1.3;5.3.3.1
C05455	C05293	1.3.99.6
C05455	C05477	1.3.99.6;1.1.1.50
C05455	C05469	1.1.1.50;1.3.1.3
C05455	C00735	;5.3.3.1;1.1.1.145;1.3.1.3
C05455	C05473	1.3.99.6;1.1.1.50;1.3.1.3
C05455	C05471	1.1.1.50;1.3.1.3
C05455	C02797	1.3.99.6
C05455	C05452	;1.3.99.6;1.1.1.50;1.3.1.3
C05455	C05479	1.3.99.6;1.1.1.50;1.3.1.3
C05455	C00762	;5.3.3.1;1.1.1.145;1.3.1.3
C05455	C03091	1.3.1.3
C05455	C05451	;1.3.99.6;1.1.1.50;1.3.1.3
C05455	C05490	1.3.99.6
C05455	C17339	1.14.13.95
C05455	C00535	;1.3.99.6;1.1.1.145;5.3.3.1
C05455	C06340	
C05455	C05475	1.3.99.6;1.1.1.50
C05455	C00280	;1.3.99.6;1.1.1.145;5.3.3.1
C05455	C03594	1.14.13.17;;1.1.1.181;1.3.1.3;1.3.99.6;5.3.3.1;1.1.1.145;1.1.1.50;1.14.13.95
C05455	C00619	1.3.99.6;5.3.3.1
C05455	C01780	1.3.99.6;1.3.1.3
C05455	C05453	;1.3.99.6;1.1.1.50;1.3.1.3
C05455	C05457	1.3.99.6;;1.14.13.95;1.3.1.3
C13856	CE5707	3.1.3.4;1.13.11.-;1.14.99.1
C13856	CE5700	1.14.99.1
C13856	CE3481	3.1.3.4
C02934	C00065	2.3.1.50
C02934	C00836	1.1.1.102
C02990	C00318	;1.3.99.3;2.3.1.21;6.2.1.3
C12144	C12145	3.5.1.23
CE0849	CE0713	2.3.1.16;4.2.1.17
CE0849	CE2433	5.3.3.8;1.3.99.13;2.3.1.16;4.2.1.17
CE0849	C00024	5.3.3.8;2.3.1.16;4.2.1.17
CE5967	C00024	2.3.1.16;3.1.2.2
CE5967	CE5968	3.1.2.2
CE5967	CE5966	2.3.1.16
nrvnccrn	C00318	6.2.1.3;1.3.99.3;2.3.1.21
nrvnccrn	nrvnccoa	6.2.1.3;1.3.99.3;2.3.1.21
CE2591	CE2592	4.2.1.17
CE2591	CE0852	1.3.99.3
